,tnx_hash,method,block,date,from,to,value,tnx_fee
0,0xbeed63ac01811c1ef07e90166e0d612a259339116bb1161f4b40a43b6e94c431,Transfer,19389347,2024-03-08 8:47:11,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,0x9ca3e337a8587352f4ea97b75f6163ef5fd80c3f,0.062462594 ETH,0.00099483
1,0x45e11803d0a5b68fb4bd47935ef985884deb7a9de3d549f3d3c5392d0acc121e,Transfer,19389347,2024-03-08 8:47:11,0x9658d0971f9690e45eed3d11c42d5c56367c11d8,0xdac17f958d2ee523a2206206994597c13d831ec7,0 ETH,0.00218478
2,0x9c9bc09c34f18324ccef65cd9bad57f9ee0909c7ce4c615209027b8b97ab0e62,Transfer,19389347,2024-03-08 8:47:11,0xd2d75cf1a4ac4daf3b670398fd1b5b03cd06ecb0,0xdac17f958d2ee523a2206206994597c13d831ec7,0 ETH,0.00299446
3,0xeac497f47800d93c917a315b3f00223e772805e360e91a906dd0532e0058e3c9,Transfer*,19389347,2024-03-08 8:47:11,0x415c8893d514f9bc5211d36eeda4183226b84aa7,0xff00000000000000000000000000000000081457,0 ETH,0.07150771
4,0xe9ffeeb15e066a75d68fde4e1b8446e3e7e330837dbf7e5ce958752c9a2dc8db,Transfer,19389347,2024-03-08 8:47:11,0x4dc964672b6f3637c56a2afce19ed4fc04166766,0xf017d3690346eb8234b85f74cee5e15821fee1f4,0 ETH,0.00245131
5,0x9db8517a5a8bb1529b5da221239dc7da1ec864ff425d8f9fc549429b06a75cde,Transfer,19389347,2024-03-08 8:47:11,0xd28f8ecd12f64f2e13b6659836f70a25da07da1a,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,0 ETH,0.00255568
6,0x5b358376c68384a4b54d8bb0a622f1b0d33d43ca8f980f4febee6a44386e4cad,Transfer,19389347,2024-03-08 8:47:11,0x76021ca9999697c0669d04095e68fa4589432321,0x3c48ca59bf2699e51d4974d4b6d284ae52076e5e,0 ETH,0.00244612
7,0xbaf39c9053f1b2e7629012a604fcf2f2e41e07620d69200814fe027c5b1e8d0c,Transfer,19389347,2024-03-08 8:47:11,0xa065dd02839d3cb0689e40c2d184d4158462cef5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0 ETH,0.00272281
8,0x888b601b6376459ddfc39325b8b34503fecdeab41b50a61eeb889c92b018b32c,Transfer,19389347,2024-03-08 8:47:11,0x0da0f2b683de5f4431c5abf1adcdf93992ef4f40,0x9360c489056b64d5003bf22f4f31458e31cc8028,0 ETH,0.00226781
9,0x969a4c4746a6dc9a144fecd4c5db3b6eecbcea99273d57a96bcbf3d9c1d62192,Transfer*,19389347,2024-03-08 8:47:11,0x8db973eecd14d658180a9b78b07a16f66d06920c,0x00000000000000000000000000000000000face7,0 ETH,0.00117707
